,Unnamed: 0,id,text,Pasien,Usia pasien,Penyakit,Gejala,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Objek,Penutup,Waktu
0,0,821-1-0,p,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,816-1-0,Salam.,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,815-1-0,Semoga itu membantu./ Ya.,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3,814-1-0,Hindari minum alkohol.,0,0,0,0,1,0,0,0,0,0,1,0,0
4,4,813-1-0,latihan rutin,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,812-1-0,menjaga asupan nutrisi,0,0,0,0,1,0,0,0,0,0,0,0,0
6,6,811-1-0,berinteraksi dengan orang-orang,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,810-1-0,mengendalikan stres,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8,809-1-0,menulis kerja menulis catatan smartphone kerja,0,0,0,0,1,1,0,0,0,0,0,0,0
9,9,808-1-0,"Fokus, selesaikan, selesaikan.",0,0,0,0,1,0,0,0,0,0,0,0,0
10,10,807-1-0,Jangan tidur larut malam.,0,0,0,0,1,0,0,0,0,0,0,0,0
11,11,806-1-0,Kegiatan fisik ringan yang melelahkan,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,805-1-0,Anjuran lakukan,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,804-1-0,kondisi berkonsultasi dengan dokter,0,0,0,0,1,0,0,0,0,0,0,0,0
14,14,804-1-91,berkonsultasi dengan psikiater langsung tatap muka berkonsultasi dengan fitur obrolan dokter,0,0,0,0,1,0,0,0,0,0,0,0,0
15,15,804-1-251,Dokter mengevaluasi penanganan yang sesuai,0,0,0,0,1,0,0,0,0,0,0,0,0
16,16,803-1-0,Minum alkohol.,0,0,0,0,0,0,0,0,1,0,1,0,0
17,17,800-1-0,Konsumsi vitamin b,0,0,0,0,0,0,0,0,1,0,1,0,0
18,18,798-1-0,Gangguan emosional.,0,0,0,0,0,0,0,0,1,0,0,0,0
19,19,802-1-0,konsumsi narkoba,0,0,0,0,0,0,0,0,1,0,0,0,0
20,20,801-1-0,kurang tidur,0,0,0,0,0,0,0,0,1,0,0,0,0
21,21,799-1-0,"Gangguan kesehatan, gangguan hormon tiroid, riwayat cedera kepala.",0,0,1,1,0,0,0,0,0,0,0,0,0
22,22,795-1-0,pembatasan informasi evaluasi karena kondisi,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,795-1-132,mendiagnosa riwayat medis dari pemeriksaan fisik dukungan,0,0,0,0,1,0,0,0,0,0,0,0,0
24,24,795-1-272,Kondisi yang tidak fokus akibat kondisi,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,794-1-0,Gejala adhd utama dari hidangan adhd sulit untuk fokus pada perilaku hiperaktif dan impulsif,0,0,1,1,0,0,0,0,0,0,0,0,0
26,26,794-1-125,Dimana keluhan Adhd anak laki-laki menjadi lebih buruk.,0,0,1,0,0,0,0,0,0,0,0,0,0
27,27,794-1-179,"Keluhannya muncul, fokusnya terganggu, perhatikan detail cerobohnya.",0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,794-1-323,dhddeddded dari adhd hiperaktif menurun seiring bertambahnya usia,0,0,1,0,0,1,0,0,0,0,0,0,0
29,29,794-1-495,gejala - gejala yang sulit untuk difokuskan cenderung memburuk seraya mereka bertambah tua.,0,0,0,1,0,1,0,0,0,0,0,0,0
30,30,793-1-0,melupakan kesulitan fokus yang dialami orang-orang,0,0,0,1,0,0,0,0,0,0,0,0,0
31,31,793-1-80,keluhan mengganggu kegiatan alami,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,793-1-155,keluhan aktivitas disruptif dievaluasi,0,0,0,0,1,1,0,0,0,1,0,0,0
33,33,793-1-278,Melihat keluhan dipahami kekhawatiran defisit gangguan hiperaktif adhd gangguan perkembangan yang salah bagi remaja dewasa,0,0,1,0,0,0,0,0,0,0,0,0,0
34,34,793-1-534,gejala adhd anak muncul usia,0,0,1,0,0,0,0,0,0,0,0,0,0
35,35,792-1-0,"Terima kasih, dokter.",0,0,0,0,0,0,0,1,0,0,0,0,0
36,36,791-1-0,Halo bsdalia,0,0,0,0,0,0,0,1,0,0,0,0,0
37,37,790-1-0,"Selamat siang, Dok.",0,0,0,0,0,0,0,1,0,0,0,0,0
38,38,790-1-18,tua,0,1,0,0,0,0,0,0,0,0,0,0,0
39,39,790-1-41,Sulit untuk fokus. lamunan lupa segala sesuatu yang lain.,0,0,0,1,0,0,0,0,0,0,0,0,0
40,40,790-1-107,"Ubah kebiasaannya, itu berhasil, orang tua lelah.",0,0,0,0,0,1,0,0,0,0,0,0,0
41,41,790-1-233,Pelatihan konsultan psikolog berjalan dengan baik di akhir.,0,0,0,0,1,1,0,0,0,0,0,0,0
42,42,790-1-375,fokus jangan lupa dapatkan pekerjaan yang bisa diperbaiki,0,0,0,0,0,1,0,0,0,1,0,0,0
43,43,790-1-541,energi malas menyedihkan,0,0,0,1,0,0,0,0,0,0,0,0,0
44,44,790-1-643,pikiran off berpikir jelas kesalahan dari kesalahan sepele,0,0,0,1,0,0,0,0,0,0,0,0,0
45,45,790-1-764,Sulit mencerna informasi rinci,0,0,0,1,0,0,0,0,0,0,0,0,0
46,46,790-1-819,fokus hiperaktif diam hiperaktif,0,0,0,1,0,0,0,0,0,0,0,0,0
47,47,790-1-959,"Ya, Dok.",0,0,0,0,0,0,1,0,0,0,0,0,0
48,48,790-1-990,"Tolong, jawabannya membingungkan.",0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,476-1-0,Informasi mungkin berguna.,0,0,0,0,0,0,0,0,0,0,0,1,0
50,50,476-1-62,Terima kasih.,0,0,0,0,0,0,0,0,0,0,0,1,0
51,51,475-1-0,tanda-tanda autisme anak,0,0,1,0,0,0,0,0,0,0,0,0,0
52,52,475-1-95,Gejala - gejalanya mirip gangguan adhd disorder worries asperger akibat kekerasan,0,0,1,0,0,0,0,0,0,0,0,0,0
53,53,475-1-277,Pastikan dokter anak itu berkonsultasi dengan perawatan diagnosis bunga anak yang sedang bertumbuh,0,0,0,0,1,1,0,0,0,0,0,0,0
54,54,474-1-0,Autisme atau gangguan spektrum autitis gangguan pengembangan asd menyebabkan kemampuan komunikasi anak-anak terganggu,0,0,1,0,0,1,0,0,0,0,0,0,0
55,55,474-1-150,tanda-tanda autisme anak,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,474-1-212,Gejala berbagai kesulitan dalam komunikasi sulit untuk berkomunikasi memahami titik kemarahan berulang.,0,0,0,1,0,0,0,0,0,0,0,0,0
57,57,473-1-0,"Pertanyaannya adalah, Dokter.",0,0,0,0,0,0,0,1,0,0,0,0,0
58,58,472-1-0,"Halo, Haryati.",0,0,0,0,0,0,0,1,0,0,0,0,0
59,59,471-1-0,"Dok seorang anak adalah dari usia kemarahan, menyakiti anggota tubuhnya dada bayi mengalami kesulitan tidur pagi ini, menulis garis miring",1,1,1,1,0,1,1,0,0,0,0,0,1
60,60,470-1-0,memahami tingkat keparahan dari berat sekolah khusus.,0,0,0,0,1,0,0,0,0,1,0,1,0
61,61,469-1-0,terapi,0,0,0,0,1,0,0,0,0,0,0,0,0
62,62,468-1-0,contoh menjalankan hari haari,0,0,0,0,1,0,0,0,0,0,0,0,0
63,63,467-1-0,mempertimbangkan aktivitas sehari-hari,0,0,0,0,1,0,0,0,0,0,0,0,0
64,64,466-1-0,menghabiskan anak,0,0,0,0,1,0,0,0,0,0,0,0,0
65,65,465-1-0,kesabaran penderita adhd mendukung mengoptimalkan perkembangan anak,0,0,1,0,1,1,0,0,0,0,0,0,0
66,66,465-1-119,Putra Adhd.,0,0,1,0,0,0,0,0,0,0,0,0,0
67,67,464-1-0,Autisme dari kelainan neurodevelopment menyebabkan gangguan interaksi,0,0,1,0,0,1,0,0,0,0,0,0,0
68,68,464-1-130,autisme disebabkan,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,464-1-184,adhd defisit defisit hiperaktif gangguan perilaku menyebabkan tindakan impulsif perhatian hiperaktif,0,0,1,1,0,0,0,0,0,0,0,0,0
70,70,464-1-335,interferensi yang berbeda dipahami,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,464-1-378,"Anak itu suka bicara, fokus berhenti.",0,0,1,1,0,0,0,0,0,0,0,0,0
72,72,463-1-0,"Halo, terima kasih, dokter.",0,0,0,0,0,0,0,1,0,0,0,0,0
73,73,463-1-51,dari Bukankah itu?,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,462-1-0,Adhd dari autistik cacat mental ya doc,0,0,1,0,0,0,1,0,0,0,0,0,0
75,75,462-1-57,Adhd sekolah khusus adhd adhd,0,0,1,0,0,0,1,0,0,0,0,0,0
76,76,461-1-0,Mudah-mudahan informasi akan membantu.,0,0,0,0,0,0,0,0,0,0,0,1,0
77,77,461-1-37,Salam.,0,0,0,0,0,0,0,0,0,0,0,1,0
78,78,460-1-0,berkonsultasilah dengan diagnosis psikiater.,0,0,0,0,1,1,0,0,0,0,0,0,0
79,79,460-1-95,"Kecemasan terlibat dalam konflik, Kekesalan yang disebabkan oleh gangguan kecemasan.",0,0,1,1,0,0,0,0,0,0,0,0,0
80,80,460-1-247,konsultasi singkat mengatasi dampak sosialisasi pekerjaan,0,0,0,0,0,1,0,0,0,1,0,0,0
81,81,459-1-0,Adhd tumbuh dewasa,0,0,1,0,0,0,0,0,0,0,0,0,0
82,82,459-1-42,adhd kadang - kadang didiagnosis sebagai orang dewasa,0,0,1,0,0,1,0,0,0,0,0,0,1
83,83,459-1-126,"Anak-anak adalah gejala adhd perilaku pengendalian anak, struktur sekolah cenderung teratur.",0,0,1,0,1,0,0,0,0,0,0,0,0
84,84,459-1-334,semakin tua perilakunya dikendalikan lingkungan kampus kantor ini bebas struktural daripada sekolah gejala,0,0,0,0,0,1,0,0,0,1,0,0,1
85,85,458-1-0,tahu adhd sekelompok tanda-tanda gangguan psikologis gangguan fokus utama adalah konsentrasi,0,0,1,0,0,0,0,0,0,0,0,0,0
86,86,458-1-158,Ditambah orang memiliki kemampuan untuk tetap fokus singkat jarang mengalami perubahan suasana hati sakit,0,0,1,1,0,0,0,0,0,0,0,0,0
87,87,458-1-314,Gejala - gejala impulsif di mana pemikiran yang matang mengingatkan kita akan konsekuensinya.,0,0,0,1,0,0,0,0,0,0,0,0,0
88,88,458-1-457,ada orang-orang yang sulit menerimanya berdiri diam-diam mengganggu pembicaraan orang tentang kegiatan fisik yang bertujuan,0,0,1,1,0,0,0,0,0,0,0,0,0
