,Unnamed: 0,id,text,Pasien,Usia pasien,Penyakit,Gejala,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Objek,Penutup,Waktu
0,0,821-1-0,p,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,816-1-0,salam,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,815-1-0,mari berharap membantu,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3,814-1-0,hindari konsumsi alkohol rokok,0,0,0,0,1,0,0,0,0,0,1,0,0
4,4,813-1-0,rutin olahraga,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,812-1-0,mempertahankan asupan nutrisi,0,0,0,0,1,0,0,0,0,0,0,0,0
6,6,811-1-0,berinteraksi orang orang sekitarmu,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,810-1-0,mengelola stres,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8,809-1-0,menuliskan lakukan menuliskannya catatan smartphone lakukan,0,0,0,0,1,1,0,0,0,0,0,0,0
9,9,808-1-0,lakukan fokus menyelesaikan lakukan,0,0,0,0,1,0,0,0,0,0,0,0,0
10,10,807-1-0,istirahatlah tidur larut malam,0,0,0,0,1,0,0,0,0,0,0,0,0
11,11,806-1-0,kegiatan fisik ringan melelahkan,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,805-1-0,dorongan lakukan,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,804-1-0,kondisimu berkonsultasi dokter,0,0,0,0,1,0,0,0,0,0,0,0,0
14,14,804-1-91,berkonsultasi langsung psikiater berkonsultasi langsung dokter halo,0,0,0,0,1,0,0,0,0,0,0,0,0
15,15,804-1-251,dokter mengevaluasi perawatan sesuai,0,0,0,0,1,0,0,0,0,0,0,0,0
16,16,803-1-0,konsumsi alkohol,0,0,0,0,0,0,0,0,1,0,1,0,0
17,17,800-1-0,kurangnya konsumsi vitamin b,0,0,0,0,0,0,0,0,1,0,1,0,0
18,18,798-1-0,gangguan emosional,0,0,0,0,0,0,0,0,1,0,0,0,0
19,19,802-1-0,obat atasnya,0,0,0,0,0,0,0,0,1,0,0,0,0
20,20,801-1-0,tidur,0,0,0,0,0,0,0,0,1,0,0,0,0
21,21,799-1-0,gangguan medis gangguan hormon tiroid riwayat cedera kepala,0,0,1,1,0,0,0,0,0,0,0,0,0
22,22,795-1-0,keterbatasan informasi kebutuhan evaluasi mengkonfirmasi penyebab kondisi,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,795-1-132,mendiagnosis penyakit diperiksa catatan medis pemeriksaan fisik membutuhkan dukungan,0,0,0,0,1,0,0,0,0,0,0,0,0
24,24,795-1-272,kondisi lupa fokus dihasilkan kondisi,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,794-1-0,gejala adhd anak adhd primer sulit difokuskan perilaku hiperaktif impulsif,0,0,1,1,0,0,0,0,0,0,0,0,0
26,26,794-1-125,dimana anak keluhan adhd buruk,0,0,1,0,0,0,0,0,0,0,0,0,0
27,27,794-1-179,keluhan fokus pekerjaan terganggu peduli rinci ceroboh,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,794-1-323,adhd berpengalaman orang dewasa memiliki pengalaman adhd anak tingkat hiperaktif adhd menurun usia,0,0,1,0,0,1,0,0,0,0,0,0,0
29,29,794-1-495,gejala gejala kesulitan ditimbulkannya cenderung parah seraya usia bertambah,0,0,0,1,0,1,0,0,0,0,0,0,0
30,30,793-1-0,orang melupakan kesulitan fokus,0,0,0,1,0,0,0,0,0,0,0,0,0
31,31,793-1-80,keluhan mengganggu kegiatan alami,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,793-1-155,keluhan mengganggu kegiatan dibutuhkan evaluasi,0,0,0,0,1,1,0,0,0,1,0,0,0
33,33,793-1-278,keluhkan layak memahami gangguan gangguan hiperaktif salah gangguan perkembangan kanak kanak bertahan remaja dewasa,0,0,1,0,0,0,0,0,0,0,0,0,0
34,34,793-1-534,gejala adhd anak muncul berusia,0,0,1,0,0,0,0,0,0,0,0,0,0
35,35,792-1-0,terima kasih dokter,0,0,0,0,0,0,0,1,0,0,0,0,0
36,36,791-1-0,halo bsdalia,0,0,0,0,0,0,0,1,0,0,0,0,0
37,37,790-1-0,selamat siang dok,0,0,0,0,0,0,0,1,0,0,0,0,0
38,38,790-1-18,berusia,0,1,0,0,0,0,0,0,0,0,0,0,0
39,39,790-1-41,sulit fokus melamun dilupakan lain-lain,0,0,0,1,0,0,0,0,0,0,0,0,0
40,40,790-1-107,mengubah kebiasaan berhasil orang tua lelah,0,0,0,0,0,1,0,0,0,0,0,0,0
41,41,790-1-233,berkonsultasi psikolog latihan berjalan lancar,0,0,0,0,1,1,0,0,0,0,0,0,0
42,42,790-1-375,fokus lakukan terlupakan terpaku kerjakan,0,0,0,0,0,1,0,0,0,1,0,0,0
43,43,790-1-541,sedih malas energi,0,0,0,1,0,0,0,0,0,0,0,0,0
44,44,790-1-643,otak off berpikir jernih kesalahan sepele,0,0,0,1,0,0,0,0,0,0,0,0,0
45,45,790-1-764,sulit mencerna informasi terperinci,0,0,0,1,0,0,0,0,0,0,0,0,0
46,46,790-1-819,fokus hiperaktif hiperaktif tenang,0,0,0,1,0,0,0,0,0,0,0,0,0
47,47,790-1-959,padaku doc,0,0,0,0,0,0,1,0,0,0,0,0,0
48,48,790-1-990,tolong salah denganku,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,476-1-0,informasi semoga bermanfaat,0,0,0,0,0,0,0,0,0,0,0,1,0
50,50,476-1-62,terima kasih,0,0,0,0,0,0,0,0,0,0,0,1,0
51,51,475-1-0,gejala bicarakan tanda gejala autisme anak,0,0,1,0,0,0,0,0,0,0,0,0,0
52,52,475-1-95,gejala gejala menyerupai gangguan kondisi adhd gangguan kecemasan sindrom asperger reaksi trauma penuh kekerasan,0,0,1,0,0,0,0,0,0,0,0,0,0
53,53,475-1-277,berkonsultasi dokter anak pemeriksaan anak bertumbuh diagnosis perawatannya,0,0,0,0,1,1,0,0,0,0,0,0,0
54,54,474-1-0,autisme autism spectrum disorders gangguan perkembangan menyebabkan keterampilan berkomunikasi bersosialisasi anak anak terganggu,0,0,1,0,0,1,0,0,0,0,0,0,0
55,55,474-1-150,gejala autisme muncul usia,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,474-1-212,gejala kesulitan komunikasi sulit percakapan memahami niat instruksi orang berulang ulang mengamuk mengalami kesulitan bersosialisasi mudah berteman marah menangis alasan menyukai mengkonsumsi makanan gerakan berulang ulang berayun ayun menyukai objek topik kegiatan menggigit kepalanya dinding memiliki bahasa kaku tidur,0,0,0,1,0,0,0,0,0,0,0,0,0
57,57,473-1-0,terima kasih dokter halo,0,0,0,0,0,0,0,1,0,0,0,0,0
58,58,472-1-0,halo haryati,0,0,0,0,0,0,0,1,0,0,0,0,0
59,59,471-1-0,dokter putriku berusia berusia marah melukai memukul mukul tubuhnya kepalanya payudaranya bayi tidur berusia tidur jam pagi,1,1,1,1,0,1,1,0,0,0,0,0,1
60,60,470-1-0,dipahami parah berat sekolah khusus membantu,0,0,0,0,1,0,0,0,0,1,0,1,0
61,61,469-1-0,terapi,0,0,0,0,1,0,0,0,0,0,0,0,0
62,62,468-1-0,menetapkan teladan melaksanakan kegiatan sehari,0,0,0,0,1,0,0,0,0,0,0,0,0
63,63,467-1-0,membebani jadwal mengimbanginya,0,0,0,0,1,0,0,0,0,0,0,0,0
64,64,466-1-0,menghabiskan anak,0,0,0,0,1,0,0,0,0,0,0,0,0
65,65,465-1-0,penderita adhd membutuhkan kesabaran dukungan mengoptimalkan perkembangan anak,0,0,1,0,1,1,0,0,0,0,0,0,0
66,66,465-1-119,anak adhd,0,0,1,0,0,0,0,0,0,0,0,0,0
67,67,464-1-0,autisme gangguan neurodevelopment mengakibatkan gangguan perilaku berinteraksi orang,0,0,1,0,0,1,0,0,0,0,0,0,0
68,68,464-1-130,autisme disebabkan,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,464-1-184,adhd attention defisit hyperactivity disorder perilaku menyebabkan hiperaktif perhatian tindakan impulsif,0,0,1,1,0,0,0,0,0,0,0,0,0
70,70,464-1-335,gangguan berbeda dipahami,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,464-1-378,anak anak adhd suka berbicara henti fokus,0,0,1,1,0,0,0,0,0,0,0,0,0
72,72,463-1-0,halo terima kasih dokter halo,0,0,0,0,0,0,0,1,0,0,0,0,0
73,73,463-1-51,dr ainul,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,462-1-0,adhd cacat mental autis doc,0,0,1,0,0,0,1,0,0,0,0,0,0
75,75,462-1-57,adhd sekolah khusus,0,0,1,0,0,0,1,0,0,0,0,0,0
76,76,461-1-0,mudah mudahan informasi membantu,0,0,0,0,0,0,0,0,0,0,0,1,0
77,77,461-1-37,salam,0,0,0,0,0,0,0,0,0,0,0,1,0
78,78,460-1-0,berkonsultasi psikolog psikiater diagnosis,0,0,0,0,1,1,0,0,0,0,0,0,0
79,79,460-1-95,kecenderungan terlibat konflik iritasi disebabkan isu isu gangguan kecemasan,0,0,1,1,0,0,0,0,0,0,0,0,0
80,80,460-1-247,cepat berkonsultasi cepat diatasi mempengaruhi sosialisasi pekerjaan,0,0,0,0,0,1,0,0,0,1,0,0,0
81,81,459-1-0,adhd tumbuh dewasa,0,0,1,0,0,0,0,0,0,0,0,0,0
82,82,459-1-42,adhd kadang kadang terdiagnosis dewasa,0,0,1,0,0,1,0,0,0,0,0,0,1
83,83,459-1-126,anak anak gejala adhd gejala gejala anak anak mengendalikan perilaku orang tua struktur sekolah,0,0,1,0,1,0,0,0,0,0,0,0,0
84,84,459-1-334,seraya bertambah tua perilaku dikendalikan orang tua lingkungan perguruan kantor bebas struktural sekolah gejala gejala,0,0,0,0,0,1,0,0,0,1,0,0,1
85,85,458-1-0,ketahui adhd gejala tanda tanda gangguan psikologis mencakup fokus gangguan konsentrasi,0,0,1,0,0,0,0,0,0,0,0,0,0
86,86,458-1-158,orang orang adhd memiliki kesanggupan mempertahankan fokus singkat aneh mengalami perubahan suasana hati kebosanan kekesalan,0,0,1,1,0,0,0,0,0,0,0,0,0
87,87,458-1-314,gejala menonjol impulsif berpikir konsekuensi,0,0,0,1,0,0,0,0,0,0,0,0,0
88,88,458-1-457,orang adhd kali sulit duduk berdiri diam kali mengganggu percakapan orang kegiatan fisik tujuan,0,0,1,1,0,0,0,0,0,0,0,0,0
89,89,458-1-616,kondisi adhd sulit membedakan spektrum autisme gejala tanda tanda,0,0,1,0,0,0,0,0,0,0,0,0,0
90,90,457-1-0,halo wahyu,0,0,0,0,0,0,0,1,0,0,0,0,0
