,id,text,Pasien,Usia pasien,Penyakit,Gejala,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Objek,Penutup,Waktu
0,821-1-0,p,0,0,0,0,0,0,0,0,0,0,0,0,0
1,816-1-0,salam,0,0,0,0,0,0,0,0,0,0,0,1,0
2,815-1-0,semoga membantu iya,0,0,0,0,0,0,0,0,0,0,0,1,0
3,814-1-0,hindari konsumsi alkohol rokok,0,0,0,0,1,0,0,0,0,0,1,0,0
4,813-1-0,olahraga rutin,0,0,0,0,1,0,0,0,0,0,0,0,0
5,812-1-0,jaga asupan nutrisi,0,0,0,0,1,0,0,0,0,0,0,0,0
6,811-1-0,berinteraksi orang,0,0,0,0,1,0,0,0,0,0,0,0,0
7,810-1-0,mengelola stres,0,0,0,0,1,0,0,0,0,0,0,0,0
8,809-1-0,menuliskan kerjakan menuliskannya catatan smartphone kerjakan,0,0,0,0,1,1,0,0,0,0,0,0,0
9,808-1-0,kerjakan fokus selesaikan persatu kerjakan,0,0,0,0,1,0,0,0,0,0,0,0,0
10,807-1-0,istirahat hindari tidur larut malam,0,0,0,0,1,0,0,0,0,0,0,0,0
11,806-1-0,minimalisir aktivitas fisik berat melelahkan,0,0,0,0,1,0,0,0,0,0,0,0,0
12,805-1-0,anjuran lakukan,0,0,0,0,0,0,0,0,0,0,0,0,0
13,804-1-0,kondisi berkonsultasi dokter,0,0,0,0,1,0,0,0,0,0,0,0,0
14,804-1-91,berkonsultasi dokter psikiatri langsung bertemu tatap muka berkonsultasi fitur chat alodokter,0,0,0,0,1,0,0,0,0,0,0,0,0
15,804-1-251,dokter mengevaluasi penanganan sesuai,0,0,0,0,1,0,0,0,0,0,0,0,0
16,803-1-0,mengkonsumsi alkohol,0,0,0,0,0,0,0,0,1,0,1,0,0
17,800-1-0,konsumsi vitamin b,0,0,0,0,0,0,0,0,1,0,1,0,0
18,798-1-0,gangguan emosi,0,0,0,0,0,0,0,0,1,0,0,0,0
19,802-1-0,konsumsi obat,0,0,0,0,0,0,0,0,1,0,0,0,0
20,801-1-0,kurangnya tidur,0,0,0,0,0,0,0,0,1,0,0,0,0
21,799-1-0,gangguan medis gangguan hormon tiroid riwayat cidera kepala,0,0,1,1,0,0,0,0,0,0,0,0,0
22,795-1-0,keterbatasan informasi evaluasi penyebab kondisi,0,0,0,0,1,0,0,0,0,0,0,0,0
23,795-1-132,mendiagnosis penyakit pemeriksaan riwayat medis pemeriksaan fisik penunjang,0,0,0,0,1,0,0,0,0,0,0,0,0
24,795-1-272,kondisi lupa fokus diakibatkan kondisi,0,0,0,0,0,0,0,0,0,0,0,0,0
25,794-1-0,gejala adhd anakgejala utama adhd sulit memusatkan perhatian perilaku hiperaktifdan impulsif,0,0,1,1,0,0,0,0,0,0,0,0,0
26,794-1-125,dimana anak adhd keluhan bertambah parah,0,0,1,0,0,0,0,0,0,0,0,0,0
27,794-1-179,keluhan muncul fokus perhatian teralihkan memperhatikan detail ceroboh,0,0,0,1,0,0,0,0,0,0,0,0,0
28,794-1-323,adhd dialami usia dewasa mengalami adhd gejala hiperaktif adhd berkurang seiring bertambahnya usia,0,0,1,0,0,1,0,0,0,0,0,0,0
29,794-1-495,gejala sulit memusatkan perhatian cenderung bertambah parah seiring pertambahan usia,0,0,0,1,0,1,0,0,0,0,0,0,0
30,793-1-0,lupa kesulitan fokus dialami orang,0,0,0,1,0,0,0,0,0,0,0,0,0
31,793-1-80,keluhan mengganggu aktivitas wajar,0,0,0,0,0,0,0,0,0,0,0,0,0
32,793-1-155,keluhan mengganggu aktivitas dievaluasi,0,0,0,0,1,1,0,0,0,1,0,0,0
33,793-1-278,menilik keluhkan dipahami attention deficit hyperactivity disorder adhd salah kelainan perkembangan anak remaja dewasa,0,0,1,0,0,0,0,0,0,0,0,0,0
34,793-1-534,gejala adhd anak muncul usia,0,0,1,0,0,0,0,0,0,0,0,0,0
35,792-1-0,terimakasih alodokter,0,0,0,0,0,0,0,1,0,0,0,0,0
36,791-1-0,halo bsdtalia,0,0,0,0,0,0,0,1,0,0,0,0,0
37,790-1-0,selamat sore dok,0,0,0,0,0,0,0,1,0,0,0,0,0
38,790-1-18,berusia,0,1,0,0,0,0,0,0,0,0,0,0,0
39,790-1-41,susah fokus melamun lupa lain-lain,0,0,0,1,0,0,0,0,0,0,0,0,0
40,790-1-107,mengubah habit berhasil orang tua capek,0,0,0,0,0,1,0,0,0,0,0,0,0
41,790-1-233,konsultasi psikolog latihan berjalan lancar diakhir,0,0,0,0,1,1,0,0,0,0,0,0,0
42,790-1-375,fokus lakukan terlupakan terpaku kerjakan,0,0,0,0,0,1,0,0,0,1,0,0,0
43,790-1-541,sad lazy energi,0,0,0,1,0,0,0,0,0,0,0,0,0
44,790-1-643,brain off berpikir jernih kesalahan kesalahan sepele,0,0,0,1,0,0,0,0,0,0,0,0,0
45,790-1-764,sulit mencerna informasi detail,0,0,0,1,0,0,0,0,0,0,0,0,0
46,790-1-819,fokus hiperaktif hiperaktif pendiam,0,0,0,1,0,0,0,0,0,0,0,0,0
47,790-1-959,iya dok,0,0,0,0,0,0,1,0,0,0,0,0,0
48,790-1-990,tolong jawabannya bingung,0,0,0,0,0,0,0,0,0,0,0,0,0
49,476-1-0,informasi semoga bermanfaat,0,0,0,0,0,0,0,0,0,0,0,1,0
50,476-1-62,terima kasih,0,0,0,0,0,0,0,0,0,0,0,1,0
51,475-1-0,gejala tanda gejala autisme anak,0,0,1,0,0,0,0,0,0,0,0,0,0
52,475-1-95,gejalanya menyerupai gangguan kondisi adhd gangguan cemas sindrom asperger reaksi trauma akibat kekerasan,0,0,1,0,0,0,0,0,0,0,0,0,0
53,475-1-277,memastikannya berkonsultasi dokter anak pemeriksaan tumbuh kembang anak diagnosis penanganan,0,0,0,0,1,1,0,0,0,0,0,0,0
54,474-1-0,autisme atauautism spectrum disorder asd gangguan perkembangan menyebabkan kemampuan komunikasi sosialisasi anak terganggu,0,0,1,0,0,1,0,0,0,0,0,0,0
55,474-1-150,gejala autisme anak usia,0,0,0,0,0,0,0,0,0,0,0,0,0
56,474-1-212,gejalanya beragam kesulitan komunikasi sulit percakapan memahami maksud petunjuk orang berulang tantrum sulit bersosialisasi mudah berteman marah menangis tertawa alasan menyukai mengonsumsi makanan gerakan berulang mengayun memutar badan menyukai objek topik aktivitas membahayakan menggigit kencang membenturkan kepala dinding memiliki bahasa gerakan tubuh cenderung kaku sulit tidur,0,0,0,1,0,0,0,0,0,0,0,0,0
57,473-1-0,terima kasih pertanyaannya alodokter,0,0,0,0,0,0,0,1,0,0,0,0,0
58,472-1-0,halo haryati,0,0,0,0,0,0,0,1,0,0,0,0,0
59,471-1-0,dok anak umur sedari umur marah menyakiti memukul anggota tubuhnya kepala dadanya bayi sulit tidur umur tidur jam an pagi umur menulis garis miring garis lingkaran iya gejala anak autis,1,1,1,1,0,1,1,0,0,0,0,0,1
60,470-1-0,dipahami tingkat keparahannya berat sekolah khusus semoga membantu,0,0,0,0,1,0,0,0,0,1,0,1,0
61,469-1-0,terapi,0,0,0,0,1,0,0,0,0,0,0,0,0
