,id,text,Pasien,Usia pasien,Penyakit,Gejala,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Objek,Penutup,Waktu
0,821-1-0,P,0,0,0,0,0,0,0,0,0,0,0,0,0
1,816-1-0,Salam,0,0,0,0,0,0,0,0,0,0,0,1,0
2,815-1-0,Mari kita berharap itu membantu.,0,0,0,0,0,0,0,0,0,0,0,1,0
3,814-1-0,Hindari konsumsi alkohol dan rokok,0,0,0,0,1,0,0,0,0,0,1,0,0
4,813-1-0,Rutin olahraga,0,0,0,0,1,0,0,0,0,0,0,0,0
5,812-1-0,Mempertahankan asupan nutrisi,0,0,0,0,1,0,0,0,0,0,0,0,0
6,811-1-0,Selalu berinteraksi dengan orang-orang di sekitarmu.,0,0,0,0,1,0,0,0,0,0,0,0,0
7,810-1-0,Mengelola stres dengan baik,0,0,0,0,1,0,0,0,0,0,0,0,0
8,809-1-0,Anda dapat menuliskan apa yang ingin Anda lakukan atau menuliskannya pada catatan smartphone Anda sehingga Anda tahu apa yang akan Anda lakukan.,0,0,0,0,1,1,0,0,0,0,0,0,0
9,808-1-0,"Lakukan sesuatu dengan fokus dari melakukan sesuatu yang kecil, menyelesaikan satu hal pada waktu yang ingin Anda lakukan.",0,0,0,0,1,0,0,0,0,0,0,0,0
10,807-1-0,"Istirahatlah yang cukup, jangan tidur larut malam.",0,0,0,0,1,0,0,0,0,0,0,0,0
11,806-1-0,Kegiatan fisik yang ringan dan melelahkan,0,0,0,0,1,0,0,0,0,0,0,0,0
12,805-1-0,"Sekarang, ada beberapa dorongan yang bisa kau lakukan, seperti:",0,0,0,0,0,0,0,0,0,0,0,0,0
13,804-1-0,"Sebaiknya, untuk memastikan kondisimu saat ini, kau bisa berkonsultasi dengan dokter.",0,0,0,0,1,0,0,0,0,0,0,0,0
14,804-1-91,"Anda dapat berkonsultasi langsung dengan psikiater, atau Anda dapat berkonsultasi secara langsung dengan dokter Alo.",0,0,0,0,1,0,0,0,0,0,0,0,0
15,804-1-251,Dokter akan dapat mengevaluasi lebih lanjut untuk memberikan perawatan yang sesuai.,0,0,0,0,1,0,0,0,0,0,0,0,0
16,803-1-0,Konsumsi alkohol yang sering terjadi,0,0,0,0,0,0,0,0,1,0,1,0,0
17,800-1-0,Kurangnya konsumsi vitamin B12,0,0,0,0,0,0,0,0,1,0,1,0,0
18,798-1-0,Gangguan emosional,0,0,0,0,0,0,0,0,1,0,0,0,0
19,802-1-0,Ada banyak obat di atasnya.,0,0,0,0,0,0,0,0,1,0,0,0,0
20,801-1-0,Kurang tidur,0,0,0,0,0,0,0,0,1,0,0,0,0
21,799-1-0,"Gangguan medis tertentu seperti gangguan hormon tiroid, riwayat cedera kepala.",0,0,1,1,0,0,0,0,0,0,0,0,0
22,795-1-0,"Sekarang, karena keterbatasan informasi dan kebutuhan untuk evaluasi lebih lanjut, sangat diperlukan untuk mengkonfirmasi penyebab kondisi Anda saat ini.",0,0,0,0,1,0,0,0,0,0,0,0,0
23,795-1-132,"Karena untuk mendiagnosis suatu penyakit perlu diperiksa dari catatan medis, pemeriksaan fisik membutuhkan dukungan.",0,0,0,0,1,0,0,0,0,0,0,0,0
24,795-1-272,"Selain itu, kondisi seperti lupa dan tidak fokus juga dapat dihasilkan dari beberapa kondisi seperti:",0,0,0,0,0,0,0,0,0,0,0,0,0
25,794-1-0,"Gejala ADHD dalam anak ADHD primer sulit untuk difokuskan, serta menunjukkan perilaku hiperaktif dan impulsif.",0,0,1,1,0,0,0,0,0,0,0,0,0
26,794-1-125,Dimana anak dengan keluhan ADHD menjadi lebih buruk.,0,0,1,0,0,0,0,0,0,0,0,0,0
27,794-1-179,"Keluhan tampaknya tidak fokus dalam pekerjaan hal-hal, terganggu, tidak peduli secara rinci, ceroboh dan sebaliknya.",0,0,0,1,0,0,0,0,0,0,0,0,0
28,794-1-323,"Dalam ADHD, yang berpengalaman sebagai orang dewasa, biasanya memiliki pengalaman dengan ADHD sebagai seorang anak. tingkat hiperaktif dalam ADHD biasanya akan menurun dengan usia.",0,0,1,0,0,1,0,0,0,0,0,0,0
29,794-1-495,"Di pihak lain, gejala - gejala kesulitan yang ditimbulkannya cenderung semakin parah seraya usia bertambah.",0,0,0,1,0,1,0,0,0,0,0,0,0
30,793-1-0,Hal ini umum bagi semua orang untuk melupakan dan kesulitan untuk fokus.,0,0,0,1,0,0,0,0,0,0,0,0,0
31,793-1-80,"Selama keluhan tidak mengganggu kegiatan, mereka alami.",0,0,0,0,0,0,0,0,0,0,0,0,0
32,793-1-155,"Akan tetapi, apabila keluhan telah berlangsung cukup lama untuk mengganggu kegiatan, dibutuhkan evaluasi lebih lanjut.",0,0,0,0,1,1,0,0,0,1,0,0,0
33,793-1-278,"Mengingat apa yang Anda katakan dan apa yang Anda keluhkan sekarang, itu layak memahami bahwa gangguan gangguan hiperaktif adalah salah satu gangguan yang paling perkembangan di masa kanak-kanak dan dapat bertahan melalui masa remaja dan dewasa.",0,0,1,0,0,0,0,0,0,0,0,0,0
34,793-1-534,Gejala umum ADHD seorang anak telah muncul sejak ia berusia 3 tahun.,0,0,1,0,0,0,0,0,0,0,0,0,0
35,792-1-0,Terima kasih sudah bertanya pada dokter.,0,0,0,0,0,0,0,1,0,0,0,0,0
36,791-1-0,"Alo Bsdalia,",0,0,0,0,0,0,0,1,0,0,0,0,0
37,790-1-0,"Selamat siang, Dok.",0,0,0,0,0,0,0,1,0,0,0,0,0
38,790-1-18,Saya berusia 17 tahun.,0,1,0,0,0,0,0,0,0,0,0,0,0
39,790-1-41,"Aku tidak tahu mengapa begitu sulit untuk fokus, sering melamun, sering dilupakan, dll.",0,0,0,1,0,0,0,0,0,0,0,0,0
40,790-1-107,Saya telah melakukan banyak hal untuk mengubah kebiasaan saya tetapi tidak ada yang berhasil sampai orang tua saya lelah.,0,0,0,0,0,1,0,0,0,0,0,0,0
41,790-1-233,"Saya sudah berkonsultasi dengan psikolog dan diberikan latihan lain, selalu berjalan lancar pada awalnya tapi pada akhirnya saya kembali ke awal.",0,0,0,0,1,1,0,0,0,0,0,0,0
42,790-1-375,"Ketika saya benar-benar fokus pada sesuatu yang saya lakukan, segala sesuatu yang lain terlupakan karena saya terpaku pada satu hal yang saya kerjakan.",0,0,0,0,0,1,0,0,0,1,0,0,0
43,790-1-541,"Lalu entah bagaimana beberapa hari kemudian aku tiba-tiba bisa sedih, malas, seperti tidak ada energi.",0,0,0,1,0,0,0,0,0,0,0,0,0
44,790-1-643,"Di hari-hari seperti itu otak saya merasa off, tidak bisa berpikir jernih, sering membuat kesalahan sepele.",0,0,0,1,0,0,0,0,0,0,0,0,0
45,790-1-764,Saya juga merasa sulit mencerna informasi yang kurang terperinci.,0,0,0,1,0,0,0,0,0,0,0,0,0
46,790-1-819,"Aku ingat bahwa aku juga sedikit keluar dari fokus dan hiperaktif, tapi sekarang aku tidak hiperaktif, aku tenang.",0,0,0,1,0,0,0,0,0,0,0,0,0
47,790-1-959,"Aku ingin tahu apa yang terjadi padaku, doc?",0,0,0,0,0,0,1,0,0,0,0,0,0
